"Time, ms","CH1, lux","CH2, lux"
629701,14.7,2.5
629901,9.8,4.9
630101,9.8,2.5
630301,19.7,2.5
630501,9.8,2.5
630701,19.7,2.5
630901,17.2,2.5
631101,9.8,2.5
631301,14.7,0
631501,14.7,2.5
631701,14.7,0
631901,12.3,0
632101,9.8,2.5
632301,7.4,2.5
632501,9.8,0
632701,9.8,2.5
632901,9.8,4.9
633101,9.8,2.5
633301,19.7,2.5
633501,17.2,2.5
633701,9.8,2.5
633901,17.2,2.5
634101,14.7,2.5
634301,17.2,2.5
634501,9.8,4.9
634701,14.7,2.5
634901,9.8,2.5
635101,17.2,2.5
635301,17.2,2.5
635501,19.7,4.9
635701,24.6,14.7
635901,41.8,44.2
636101,194.1,990.1
636301,498.7,1459.4
636501,312,159.7
636701,54.1,2.5
636901,181.8,24.6
637101,49.1,7.4
637301,135.1,22.1
637501,960.6,270.3
637701,277.6,59
637901,235.9,61.4
638101,159.7,61.4
638301,59,31.9
638501,208.8,127.8
638701,1194.1,444.7
638901,923.8,223.6
639101,906.6,348.9
639301,39.3,9.8
639501,14.7,4.9
639701,9.8,2.5
639901,9.8,7.4
640101,9.8,2.5
640301,17.2,2.5
640501,17.2,2.5
640701,14.7,2.5
640901,17.2,4.9
641101,17.2,4.9
641301,17.2,4.9
641501,9.8,4.9
